Timestamp,High,Low,Open,volumefrom,volumeto,Close,conversionType,conversionSymbol,Date
1575763200,7594.8,7414.51,7514.86,15949.09,120000308.8,7539.7,direct,,12/8/2019
1575849600,7667.04,7296.42,7539.7,35089.72,262161330.4,7350.62,direct,,12/9/2019
1575936000,7403.64,7176.42,7350.62,23348.59,170419385.8,7233.84,direct,,12/10/2019
1576022400,7284.74,7167.13,7233.84,19799.94,143267855.5,7212.01,direct,,12/11/2019
1576108800,7307.96,7105.35,7212.01,28003.83,201666958.3,7199.39,direct,,12/12/2019
1576195200,7308.08,7199.39,7199.39,18725.31,135777984.6,7261.72,direct,,12/13/2019
1576281600,7283.78,7033.14,7261.72,15624.21,111796861.4,7080.29,direct,,12/14/2019
1576368000,7204.93,7030.37,7080.29,15972.7,113742866.2,7132.39,direct,,12/15/2019
1576454400,7172.46,6869.19,7132.39,39619.58,278223344.1,6897.33,direct,,12/16/2019
1576540800,6948.12,6585.46,6897.33,46023.51,310739632.4,6635.84,direct,,12/17/2019
1576627200,7442.26,6450.69,6635.84,71573.09,491429584.5,7294.53,direct,,12/18/2019
1576713600,7376.98,7057.66,7294.53,34799.1,249541907.2,7159.26,direct,,12/19/2019
1576800000,7234.56,7094.06,7159.26,23556.25,168963964.6,7203.41,direct,,12/20/2019
1576886400,7213.86,7132.82,7203.41,12101.12,86864836.52,7159.47,direct,,12/21/2019
1576972800,7527.4,7143.17,7159.47,27325.26,200586646.5,7517.58,direct,,12/22/2019
1577059200,7694.65,7275.28,7517.58,44770.93,336425000.1,7326.6,direct,,12/23/2019
1577145600,7429.42,7175.5,7326.6,27770.75,203013413.9,7260.91,direct,,12/24/2019
1577232000,7280.52,7132.3,7260.91,15012.21,108513256.3,7202.72,direct,,12/25/2019
1577318400,7442.21,7167.44,7202.72,23254.3,169067214.3,7207.23,direct,,12/26/2019
1577404800,7267.46,7061.61,7207.23,25489.38,183588691.2,7253.82,direct,,12/27/2019
1577491200,7368.09,7253.61,7253.82,14542.71,106581355.2,7316.23,direct,,12/28/2019
1577577600,7540.65,7295.33,7316.23,18230.94,135257936.5,7399.49,direct,,12/29/2019
1577664000,7414.07,7224.79,7399.49,23030.92,168180498.7,7234.44,direct,,12/30/2019
1577750400,7325.24,7141.94,7234.44,19424.26,140384995.3,7183.88,direct,,12/31/2019
1577836800,7267.16,7171.82,7183.88,11872,85986188.11,7189.94,direct,,1/1/2020
1577923200,7224.84,6945.83,7189.94,26531.32,187393954.4,6965.72,direct,,1/2/2020
1578009600,7407.11,6882.62,6965.72,51975.01,376690440.4,7339.7,direct,,1/3/2020
1578096000,7405.75,7278.6,7339.7,22083.57,162106895.1,7357.5,direct,,1/4/2020
1578182400,7501.42,7330.07,7357.5,24084.13,179147746.9,7359.96,direct,,1/5/2020
1578268800,7799.63,7355.11,7359.96,46443.66,352286216.6,7762.69,direct,,1/6/2020
1578355200,8218.63,7736.57,7762.69,75423.75,600054472.3,8160.36,direct,,1/7/2020
1578441600,8458.65,7873.97,8160.36,85087.59,699004342.7,8045.15,direct,,1/8/2020
1578528000,8047.11,7757.04,8045.15,40045.64,316199456.8,7817.35,direct,,1/9/2020
1578614400,8192.05,7682.56,7817.35,55534.09,441131626.3,8190.31,direct,,1/10/2020
1578700800,8287.42,8003.87,8190.31,30734.63,250060123.9,8024.58,direct,,1/11/2020
1578787200,8185.14,7968.4,8024.58,17525.61,142197585.8,8181.49,direct,,1/12/2020
1578873600,8200.4,8057.37,8181.49,22746,184437465.7,8106.56,direct,,1/13/2020
1578960000,8874.07,8106.4,8106.56,89444.78,768098459,8820.95,direct,,1/14/2020
1579046400,8890.04,8559.93,8820.95,50394.79,441186933.8,8813.21,direct,,1/15/2020
1579132800,8846.78,8586.56,8813.21,33539.82,290989712.9,8719.63,direct,,1/16/2020
1579219200,9004.35,8665.99,8719.63,48787.4,432856377.8,8894.83,direct,,1/17/2020
1579305600,8974.65,8807.26,8894.83,19872.9,176837362.3,8909.28,direct,,1/18/2020
1579392000,9177.39,8508.15,8909.28,47750.9,421483277.3,8702.59,direct,,1/19/2020
1579478400,8737.36,8521.52,8702.59,21888.47,189247381.5,8634.03,direct,,1/20/2020
1579564800,8771.75,8479.9,8634.03,22731.19,196404470.2,8724.84,direct,,1/21/2020
1579651200,8793.74,8582.43,8724.84,17278.13,149906743.9,8667.26,direct,,1/22/2020
1579737600,8680.93,8290.98,8667.26,38348.08,323273085.4,8394.28,direct,,1/23/2020
1579824000,8517.5,8225.83,8394.28,27811.03,233502998.7,8431.78,direct,,1/24/2020
1579910400,8444.32,8263.42,8431.78,14296.82,119345600.3,8345.88,direct,,1/25/2020
1579996800,8605.33,8302.57,8345.88,22444.54,189985702.2,8602.37,direct,,1/26/2020
1580083200,8991.01,8572.37,8602.37,37524.75,329416202.6,8898.94,direct,,1/27/2020
1580169600,9407.39,8892.58,8898.94,51850.54,471220882.6,9391.97,direct,,1/28/2020
1580256000,9429.16,9234.27,9391.97,36978.22,345265419.2,9286.18,direct,,1/29/2020
1580342400,9561.26,9181.72,9286.18,45852.79,430815723.7,9501.38,direct,,1/30/2020
1580428800,9518.87,9208.36,9501.38,31334.26,292627758,9342.23,direct,,1/31/2020
1580515200,9455.92,9296.57,9342.23,14778.25,138614091.6,9384.45,direct,,2/1/2020
